alpha_name,address_number,invoice_only,xh,xn,xd,xf,xp,xs,grand_total_2023,current_pay_term,net_days_to_pay,target_pay_term,country,commodity,sub_commodity
3M                    -  ST. PAUL,70015798,,,,,,17176410.92,,17176410.92,N30,30,,US,CHEMICALS & GASES,
3M GLOBAL CHANNEL SERVICES - ST. PAUL,70048263,,,,1103632.04,,,,1103632.04,N30,30,,US,CHEMICALS & GASES,
401 CNC MACHINING LLC,70249639,,91031.3,25674.8,,,111418.48,-22295.55,205829.03,N30,30,,US,BRASS & FABRICATION,
900 LINDE GAS & EQUIPMENT INC - PALATINE,70052653,,,15253.58,,,,,15253.58,N45,45,,US,CHEMICALS & GASES,
A.G.RUSSEL CO.  -  EAST HARTFORD,70019386,,,870,,,,,870,S51,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"A.M. SACCULLO LEGAL, LLC",70256617,56051.46,,,,,,,56051.46,006,0,,US,PROFESSIONAL SERVICES,LEGAL 
AAA SISTEMAS ELECTRONICOS DE SEGURIDAD,70005116,10842.61,,,,,,,10842.61,006,0,,DO,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"ABACUS TECHNOLOGIES, INC.  -  NAPLES",70175435,,,78665.92,,,47399.92,,126065.84,N90,90,,US,"FASTENERS, DISTRIBUTORS",
ABC TESTING INCORPORATED - BRIDGEWATER,70062209,,21562.8,,,,,,21562.8,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"ABLE MACHINE TOOL SALES, INC. - AGAWAM",70226605,,,765,,,,,765,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"ABRASIVE BLASTING & COATING, INC.",70253310,,,685,,,,,685,N90,90,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
ABS AMERICAS   -   BOSTON,70015815,,,15761.8,,,,,15761.8,N30,30,,US,LOGISTICS,TRANSPORTATION
ACCUTECH PACKAGING INC.,70248570,,,3705,,,,,3705,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"ACTALENT, INC. - CHICAGO",70247245,52510.59,,,,,,,52510.59,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
"ACTALENT, INC. - HANOVER",70247244,421.82,,,,,,,421.82,N90,90,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
ACTION INTEGRATED SUPPLY CHAIN - WALPOLE,70015845,,,,,,112729.62,,112729.62,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ACXESS SPRING,70253194,,,1660,,,,,1660,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
ADALET,70062220,,,,,,62849.8,,62849.8,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
ADECCO SERVICIOS COLOMBIA S.A.,70248500,75054.85,,,,,,,75054.85,006,0,,CO,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ADI    -  CANTON,70046107,,,,,,531.78,,531.78,N60,60,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
"ADIA, INC.",70255131,,,2800,,,,,2800,N30,30,,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
ADMIRAL METALS SERVICENTER CO. - WOBURN,70015859,,,,,423.7,17014.51,-603.57,16834.64,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
ADVANCED CIRCUITS,70016661,,,4355.46,,,,,4355.46,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"ADVANCED SAFETY SYSTEMS, INC. - PEABODY",70170737,,,1950,,,,,1950,N45,45,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
AEROTEK PROFESSIONAL SERVICES -CHICAGO,70050972,165557.61,,,,,,,165557.61,S43,15,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
A-GAS US INC - BOWLING GREEN,70247297,,,,,,411990.6,,411990.6,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"AIR-CONDITIONING, HEATING AND REFRIDGERA",70049815,3892.25,,,,,,,3892.25,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
ALARMSAF INC,70046041,,,,,,2571.7,,2571.7,S43,15,,US,PROFESSIONAL SERVICES,CONSULTING
ALEXANDER D. GREENE,70252296,323607.18,,,,,,,323607.18,006,0,,US,PROFESSIONAL SERVICES,CONSULTING
"ALIX PARTNERS HOLDINGS, LLP",70252294,14760480.69,,,,,,,14760480.69,006,0,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
"ALL METAL SALES, INC.   -   WESTLAKE",70049616,,,,,7978.23,65738.09,,73716.32,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"ALLIANT METALS, INC",70015982,,,,,,3631.75,,3631.75,206,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
ALLIED ELECTRONICS,70015980,,,,,,589,,589,N45,45,,US,PROFESSIONAL SERVICES,HR SERVICES
ALLIED ELECTRONICS,70031102,,,,,,751.75,,751.75,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ALTIUM INC - LA JOLLA,70231416,1722.18,,4393.09,,,,,6115.27,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
AMERICAN CAP CO.,70016035,,,,,,119138.81,-168.03,118970.78,X30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
"AMERICAN SUN COMPONENTS, INC.",70248497,,,12920,,,,,12920,N90,90,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
AMES RUBBER CORPORATION,70248792,,,,,,89085.88,-9011.4,80074.48,N30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
"AMETEK, INC",70016060,,,,,,153.6,,153.6,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
AMETEK/U.S. GAUGE DIVISION,70016058,,,,,,253.56,,253.56,X30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
AMIGOS LOCOS & WILDFIRE CATERING,70253150,,,1429,,,,,1429,CSH,0,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
ANTRON ENG & MACHINE CO. INC,70016104,,,21925.95,,,,,21925.95,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
"AOTCO METAL FINISHING CO., INC",70016106,,280,,,,,,280,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"APC TECHNOLOGIES, INC.",70231432,,,39260,,,,,39260,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
APPLIED MICROIMAGE CORPORATION - SALEM,70221384,,,92501.75,,,,,92501.75,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
APPLIED PRODUCTS INC - BILLING,70250402,812.5,,,,,,,812.5,006,0,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
APPLITEK TECHNOLOGIES CORP  - PROVIDENCE,70048539,,,2049,,,,,2049,N30,30,,US,CONSUMABLE,PACKAGING
ARGO EMS,70250357,,6979.2,,,,13087.95,,20067.15,N60,60,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
ARGUS EMBEDDED SYSTEM PVT. LTD.,70226026,,,16116.75,,,,,16116.75,N30,30,,IN,FACILITIES,BUILDINGS & REALESTATE
"ARIMON TECHNOLOGIES, QAL DIVISION",70226746,,,,,,1809.99,,1809.99,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ARMSTRONG MOLD CORPORATION,70016149,,,,,,7095.4,,7095.4,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
ARRO ENGINEERING CORP.,70016153,,,,,,18846.66,,18846.66,N30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
ARROW ELECTRONICS,70016152,,,3169.9,,,12888.76,,16058.66,N90,90,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ASCENTEC ENGINEERING LLC,70016945,,,2712,,,,,2712,N30,30,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
"ASCO, LP",70016262,,,,,,537601.07,,537601.07,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"ASHBY CROSS COMPANY,INC.",70016166,,,1087.5,,,,,1087.5,N30,30,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
ASHEVILLE-SCHOONMAKER MICA CO.,70019283,,,,,,18161.36,,18161.36,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
ASHLAND PARTY RENTAL,70235113,,,2380,,,,,2380,S40,1,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
ASTRO CHEMICALS INC,70046655,,,,,,1248796.94,,1248796.94,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
AT&T,70022598,3057.47,,,,,,,3057.47,006,0,30,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
ATCO PRODUCTS INC.,70016201,,,,,,9016.25,,9016.25,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
ATLANTIC NUCLEAR,70016206,,,800,,,,,800,S51,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"ATLANTIC RUBBER CO., INC.",70016208,,,,,,14413.4,,14413.4,N60,60,,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
AUTOMATION DIRECT,70016256,,,14401.5,,,,,14401.5,S51,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
AUTRONICA FIRE & SECURITY,70016269,,,,,,6118.36,,6118.36,N45,45,,NO,FACILITIES,FACILITY MANAGEMENT EXPENSES
AUTRONICA FIRE & SECURITY A/S - TRONDHEI,70052730,,,,,,321.51,,321.51,N45,45,,NO,FACILITIES,FACILITY MANAGEMENT EXPENSES
AUTRONICA FLORIDA,70022140,50000,,,,,,,50000,N30,30,,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
"AVAYA CLOUD, INC.",70018330,106040.34,,,,,,,106040.34,S41,10,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
AVNET ELECTRONICS MARKETING,70019925,,,,,,97,,97,X90,90,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"AWC, INC.",70016280,,,,,,2209.75,,2209.75,N45,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"AXIOMETRIX SOLUTIONS, INC.",70248437,,,340,,,,,340,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
BAJAN GROUP,70016806,,,51533.56,,833,85893.7,-86.42,138173.84,N60,60,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
BAKER BROTHERS,70016298,,,,,,117.51,,117.51,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
BATES WHITE LLC,70255110,433555,,,,,,,433555,006,0,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
BAUMEN ASSOCIATES LIMITED,70016097,83288.02,,,,,,,83288.02,006,0,30,US,IT SERVICES,TELECOM
BAY STATE WIRE & CABLE CO.,70016324,,,,,15.5,8421.2,,8436.7,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"BERKELEY RESEARCH GROUP, LLC",70256618,202066.5,,,,,,,202066.5,006,0,30,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"BILMAR CNC, INC. - RICHMOND HILL",70021941,,,,,,906.6,,906.6,N60,60,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
BLACKTREE TECHNICAL GROUP - WORCESTER,70240818,362905.84,,,,,,,362905.84,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
BLOOMY CONTROLS INC,70046109,,,77695.2,,,,,77695.2,N30,30,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
BLUE HIVE INC.,70022676,,,37104.9,,,,,37104.9,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"BNP MEDIA, INC.",70145066,,,4989,,,,,4989,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
BOOMSTER CORP,70030836,11600,,,,,198412,-439.85,209572.15,N60,60,,TW,BRASS & FABRICATION,
BOSSARD LLC,70016151,,,360,,,207188.04,,207548.04,N60,60,,US,"FASTENERS, DISTRIBUTORS",
BOUNDLESS NETWORK INC,70252399,,,6766.17,,,,,6766.17,N30,30,,US,IT SERVICES,TELECOM
BOX ENCLOSURES & ASSEMBLY SERVICES,70043706,,,,,,5726.49,,5726.49,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
BRAWO SPA,70016426,2604.7,,,,29312.48,4195583.05,,4227500.23,N60,60,,IT,BRASS & FABRICATION,
BRAY SALES-MIDWEST - DOWNERS GROVE,70091935,,,,,,17872.58,,17872.58,N30,30,,US,"VALVES  , SOURCE CONTROLLED",
BRE GLOBAL ASSURANCE (IRELAND) - DUBLIN,70231240,,,1090.15,,,,,1090.15,N30,30,,IE,PROFESSIONAL SERVICES,ENGINEERING 
"BRIGHT IDEAS, LLC",70250131,,,9580.8,,,,,9580.8,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
BROOKS EQUIPMENT CO,70016448,,,,,,172470.8,-74.52,172396.28,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
BROWN RUDNICK LLP,70253347,5703060.53,,,,,,,5703060.53,006,0,,US,PROFESSIONAL SERVICES,CONSULTING
"BRULIN HOLDING COMPANY, INC.",70226590,,,990,,,,,990,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"BS & B SAFETY SYSTEMS, LLC",70117138,,,,,,32000,,32000,N30,30,,US,"STEEL, FABRICATION",
"BSC INDUSTRIES, INC.",70016332,,,,,,5497.97,,5497.97,N45,45,,US,"STEEL, FABRICATION",
"BSI GROUP AMERICA, INC.",70226598,,,9158.59,,,,,9158.59,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"BTX TECHNOLOGIES, INC.",70253149,,,,1696.59,,,,1696.59,N30,30,,US,"STEEL, FABRICATION",
BUTLER BROTHERS SUPPLY DIVISION LLC,70216718,,,131379.47,,,,,131379.47,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
C & M TOOL CO.,70016731,,,,,,8177.3,,8177.3,N45,45,,US,BRASS & FABRICATION,
"C&M TRANSPORT, INC.",70253091,5775,,,,,,,5775,006,0,,US,LOGISTICS,TRANSPORTATION
CALEY & WHITMORE CORPORATION,70016503,,,,,,660.7,,660.7,X30,30,,US,BRASS & FABRICATION,
"CAMBRIDGE VALVE & FITTING,INC.",70016515,,,7076.94,,,,,7076.94,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"CAMGER COATING SYSTEMS, INC.",70016516,,,400,,,,,400,N30,30,,US,PROFESSIONAL SERVICES,OTHER
CANADIAN STANDARDS ASSOCIATION,70022279,,,63637.37,,,,,63637.37,N30,30,,CA,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CAPACCIO ENVIRONMENTAL ENGINEERING INC,70016523,,,40959.24,,,,,40959.24,S43,15,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CARLSTROM PRESSED METAL CO,70016541,,,,,,197246.62,,197246.62,S41,10,30,US,"STEEL, FABRICATION",
CARR WOOD TECH,70221457,,,1373,,,,,1373,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CARRIER COMMERCIAL REFRIGERATION LTD,70218593,92585.42,,,,,,,92585.42,N60,60,,TH,PROFESSIONAL SERVICES,OTHER
CARRIER CORPORATION,70226629,13486.11,,,,,,,13486.11,N60,60,,US,PROFESSIONAL SERVICES,OTHER
CARRIER CORPORATION,70226630,14889849.9,,,,,,,14889849.9,N60,60,,US,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY AMERICAS CORP,70248091,,,4190,,,,,4190,N30,30,,US,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY BV,70046208,,,,,15703.53,808870.59,,824574.12,N60,60,,NL,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
CARRIER FIRE & SECURITY HONG KONG LTD,70217829,203170.43,,,,,,,203170.43,N60,60,,HK,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY SINGAPORE LTD,70018146,606839.47,,,,,,,606839.47,N30,30,,SG,PROFESSIONAL SERVICES,OTHER
CARRIER MIDDLE EAST LTD - DUBAI,70114004,734732.4,,,,,,,734732.4,N30,30,,AE,PROFESSIONAL SERVICES,OTHER
CARRIER TECH INDIA LTD,70052699,,,1149319.06,,,,,1149319.06,N30,30,,IN,PROFESSIONAL SERVICES,OTHER
CENTURY SPRING CORPORATION - LOS ANGELES,70039787,,,,,,1920,,1920,X30,30,,US,"STEEL, FABRICATION",
"CEPEDA ASSOCIATES, INC. - LOUISVILLE",70178879,,63210.27,62975.36,,,,,126185.63,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CERAMTEC N.A.,70016013,,,,,,154804.04,-94359.98,60444.06,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"CHATILLION & SONS, INC., JOHN",70016607,,,,,,54250,-409,53841,N45,45,,US,BRASS & FABRICATION,
"CHEMOURS COMPANY FC, LLC",70017094,-75000,,,,,4511352.3,,4436352.3,N60,60,,US,CHEMICALS & GASES,
CHEMTREC,70140121,,,6410,,,,,6410,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CHEUK KIT INDUSTRIAL (HK) LTD,70048013,,,,,,18122.31,,18122.31,N90,90,,CN,"CABLES, WIRE, INSULATION, OTHER",
CHICAGO FLUID SYSTEM TECHNOLOGIES,70018213,,,,,,1337.35,,1337.35,X45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
"CHIP 1 EXCHANGE USA, INC.",70231110,,,11382.96,,,,,11382.96,N60,60,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
CHROMA TECHNOLOGY CORP,70248560,,,1131.56,,,,,1131.56,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CHURCHILL CORPORATION,70016646,,,,,,2784,,2784,N45,45,,US,BRASS & FABRICATION,
"CIMQUEST, INC.",70227439,,,2250,,,,,2250,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"CINCINNATI FAN & VENTILATOR COMPANY, INC",70117218,,,6089.01,,,,,6089.01,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CLAIGAN ENVIRONMENTAL INC,70243304,,,5300,,,,,5300,N30,30,,CA,FACILITIES,FACILITY MANAGEMENT EXPENSES
CLEAN HARBORS ENV SERVICES INC,70016714,,,2081.3,,,,,2081.3,S41,10,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"CLEARFIELD METAL TECHNOLOGIES, INC.",70252322,,,,,,36117.44,,36117.44,N60,60,,US,"STEEL, FABRICATION",
CMG     -    MARLBOROUGH,70022567,,,6890,,,,,6890,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
COLD SPRING BROOK LLC,70016737,162913.22,,,,,,,162913.22,006,0,30,US,FACILITIES,BUILDINGS & REALESTATE
COLUMBIA PIPE & SUPPLY CO.INC. - HAMMOND,70016744,,,,,,437.25,,437.25,X30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
COMCAST CABLE COMMNICATION MGT - PHILA,70226258,453.57,,1125.95,,,,,1579.52,N30,30,,US,IT SERVICES,TELECOM
COMPETITIVE CENTERLESS GRIND,70016783,,1898.1,,,,,,1898.1,S51,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"COMPLETE STAFFING SOLUTIONS, INC.",70022297,1088902.64,,,,,,,1088902.64,S41,10,30,US,CONTINGENT LABOR,OPERATIONS  SOW
COMPLIANT RESOURCES LLC,70247241,,,9843.5,,,,,9843.5,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CONSOLIDATED COATING COMPANY-BELLINGHAM,70030902,,112859.55,6955.5,,,,,119815.05,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
