alpha_name,address_number,invoice_only,xh,xn,xd,xf,xp,xs,grand_total_2023,current_pay_term,net_days_to_pay,target_pay_term,country,commodity,sub_commodity
R & R MACHINE INDUSTRIES INC.,70019374,,13532,,,,56593.35,,70125.35,X60,60,,US,BRASS & FABRICATION,
R.H.WHITE CONSTRUCTION CO.,70019312,,,42127,,,,,42127,N30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
R.J. POTVIN COMPANY,70019118,,,1212,,,,,1212,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"RA CUNHA, INCORPROATED",70016901,283902.86,,,,,,,283902.86,006,0,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
RED WING SHOES,70180372,,,13858.88,,,,,13858.88,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
REGENT TRIST HYDRAULICS,70180364,,,,,,254141.96,,254141.96,N60,60,,GB,"CABLES, WIRE, INSULATION, OTHER",
REMBAR CO.,70019287,,,,,,35143.2,,35143.2,N45,45,,US,"STEEL, FABRICATION",
REMCON NORTH CORPORATION,70019289,,,,,,490,,490,X45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
"RHENUS PROJECT LOGISTICS USA, LLC",70250434,,,595,,,,,595,S40,1,,US,LOGISTICS,
"RICHMOND FOUNDRY, LLC",70248117,,,,,4510.5,1171254.17,-16821.93,1158942.74,N30,30,,US,BRASS & FABRICATION,
RICHMOND INDUSTRIES,70020546,,,203.22,,,6182.28,,6385.5,N60,60,,US,BRASS & FABRICATION,
ROBERT A KAPLAN INC,70018104,206047.29,,,,,,,206047.29,006,0,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
ROBERT HALF MANAGEMENT RESOURCES,70044413,276756.24,,,,,,,276756.24,N30,30,,US,CONTINGENT LABOR,OTHER SOW
ROUND THE WORLD LOGISTICS CORP,70255103,324.26,,,,,,,324.26,006,0,,US,LOGISTICS,TRANSPORTATION
ROYTEC INDUSTRIES LLC,70248955,,,,,2685.44,,,2685.44,N45,45,,US,"STEEL, FABRICATION",
"RSG, INC",70019376,,,,,,58505.64,-42.5,58463.14,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
RUSSELL TOBIN AND ASSOCIATES LLC,70253309,14970.45,,,,,,,14970.45,006,0,,US,PROFESSIONAL SERVICES,CONSULTING
S. O. SALES,70019651,,,11950,,49631,2512280.82,-3715.89,2570145.93,N30,30,,US,BRASS & FABRICATION,
"S.A.A.B. PLUMBING AND HEATING, INC.",70219680,,,5338,,,,,5338,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
SAGE SOFTWARE - CHICAGO,70040016,3795,,,,,,,3795,N60,60,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
SAGER ELECTRONICS,70019408,,,,,,276303.99,,276303.99,N60,60,,US,ELECTRONICS & ELECTROMECHANICAL,
"SAIA MOTOR FREIGHT LINE, LLC",70253093,10696.44,,,,,,,10696.44,006,0,,US,LOGISTICS,TRANSPORTATION
SALEM AGENCIES & SERVICES - BILLING(L/C),70250358,12194.4,,,,,,,12194.4,006,0,,SA,PROFESSIONAL SERVICES,OTHER 
SAMUEL PRESSURE VESSEL GROUP,70141300,,,10966.4,,,,,10966.4,N30,30,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
SAMUEL PRESSURE VESSEL GROUP,70145752,,,4961.27,,,,,4961.27,N30,30,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
"SATURN PCB DESIGN, INC.",70248191,,,360,,,,,360,N90,90,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"SCHRADER INTERNATIONAL, INC.",70016434,,,,,,101253.25,-1549.5,99703.75,S43,15,30,US,"VALVES  , SOURCE CONTROLLED",
SCHULTE ROTH & ZABEL,70252295,6127649.51,,,,,,,6127649.51,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
SCIENTEMP CORPORATION - ADRIAN,70048463,,,7426,,,,,7426,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
SCREWTRON ENGINEERING,70030816,,,,,,19000,,19000,N45,45,,US,BRASS & FABRICATION,
SEALED AIR CORPORATION (US),70017797,,,,,,3486.27,,3486.27,N30,30,,US,"FASTENERS, DISTRIBUTORS",
"SEALTRON, INCORPORATED",70019464,,,250,,,23749.95,,23999.95,N30,30,,US,"FASTENERS, DISTRIBUTORS",
"SENTROL, INC.",70179462,,,1492.6,,,,,1492.6,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
SERVOLIFT,70121670,,,486,,,,,486,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
SERVOMEX COMPANY,70253138,,,13306.32,,,,,13306.32,CSH,0,30,US,PROFESSIONAL SERVICES,OTHER 
SETRA - BOXBOROUGH,70039930,,,2983.94,,,,,2983.94,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"SEYFARTH SHAW, LLP. - SAN FRANCISCO",70095960,1937.5,,,,,,,1937.5,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"SFA STRATEGIES, LLC - DULUTH",70019413,,,2484,,,,,2484,S40,1,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"SHANDONG LUYUAN FIRE TECHNOLOGY CO, LTD",70219294,,,,,,5600,,5600,X30,30,,CN,BRASS & FABRICATION,
SHANGHAI SANFENG MOLD TOOLING,70048023,,,,,,66840,,66840,CSH,0,30,CN,BRASS & FABRICATION,
SHARPSVILLE CONTAINER CO.,70030099,,,,,,72566.4,-1376.02,71190.38,N45,45,,US,"STEEL, FABRICATION",
SHERWIN WILLIAMS,70019526,,,165.16,,,,,165.16,S51,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"SIEMENS INDUSTRY SOFTWARE, INC.",70018481,,,12308.01,,,,,12308.01,N30,30,,US,PROFESSIONAL SERVICES,OTHER 
SIERRA MONITOR CORPORATION - MILPITAS,70062479,,,,,,3562.8,,3562.8,N30,30,,US,SENSORS AND SWITCHES,
SIERRA WIRELESS AMERICA INC - CARLSBAD,70219637,1048.52,,,,,18273,,19321.52,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
SIGNAL COMMUNICATIONS CORP.,70019552,,,,,,284604.4,,284604.4,N75,75,,US,SENSORS AND SWITCHES,
"SIMCO COATINGS, INC.",70133676,,,300,,,,,300,S43,15,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
SINGAPORE GREEN BUILDING COUNCIL,70255818,,,1249.07,,,,,1249.07,N30,30,,SG,PROFESSIONAL SERVICES,OTHER
"SINOCHEM LANTIAN TRADING CO., LTD",70248118,,,,450600,,1716660,,2167260,CSH,0,60,CN,CHEMICALS & GASES,
"SIPPI LOGISTICS, INC.",70255129,7700,,,,,,,7700,006,0,,US,LOGISTICS,TRANSPORTATION
SISTEMAS PROTECCION CONTRA INCENDIOS SAS,70252537,1699.8,,,,,,,1699.8,006,0,,CO,PROFESSIONAL SERVICES,OTHER
SMALL TUBE PRODUCTS INC.,70019604,,,,,,5125.2,,5125.2,N30,30,,US,"STEEL, FABRICATION",
SMITH SEAL OF NC,70019618,,,4349.97,,,6306.5,,10656.47,X45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
SOFTLOG SYSTEMS LTD.,70218865,,,3350,,,,,3350,N30,30,,IL,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
SPACE AGE ELECTRONICS INC.,70019674,,,,,,128575.84,,128575.84,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
SPECTRUM CHEMICAL MFG. CORP. - NEW BRUNS,70040644,,,134.85,,,15237.8,,15372.65,N30,30,,US,CHEMICALS & GASES,
"SPINDUSTRIES, LLC",70062218,,,,,,8775,,8775,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
SPRAGUE OPERATING RESOURCES LLC - MA,70018518,48173.77,,,,,,,48173.77,006,0,30,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
SPRAYING SYSTEMS CO.,70019696,,,,,4735,1574486.95,,1579221.95,CSH,0,45,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
SPRINGER BRIDGE ASSOCIATES,70252298,334125.1,,,,,,,334125.1,006,0,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
STANDARD ELECTRIC SUPPLY,70019714,,,,,,2146.71,,2146.71,X45,45,,US,"FASTENERS, DISTRIBUTORS",
"STANDEX ELECTRONICS, INC. - FAIRFIELD",70180361,,,25683.5,,,429641.61,,455325.11,N30,30,,US,"STEEL, FABRICATION",
STAPLES ADVANTAGE,70018032,,,18574.23,,,,,18574.23,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
STAR GLO INDUSTRIES,70019727,,,,,,12154.65,-954.65,11200,N60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
STIRRUP METAL PRODUCTS CORP.,70019758,,,,,,6746.45,,6746.45,N45,45,,US,BRASS & FABRICATION,
"STRETTO, INC.",70252441,902602.67,,,,,,,902602.67,S40,1,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
"STUTZMAN, BROMBERG, ESSERMAN & PLIFKA",70253355,817950.75,,,,,,,817950.75,006,0,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
SUBURBAN PROPANE - WHIPPANY,70019772,,,15106.56,,,,,15106.56,S41,10,30,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
SULLIVAN & CROMWELL LLP,70248989,21487612.19,,,,,,,21487612.19,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
SUMIDA AMERICA INC,70019102,,,,,,14670,,14670,S41,10,30,US,SENSORS AND SWITCHES,
"T&E INDUSTRIES, INCORPORATED",70019867,,,,,,9289.05,,9289.05,N30,30,,US,"CABLES, WIRE, INSULATION, OTHER",
TALCO CNC SOLUTIONS INC,70226603,,,,,,4577.5,,4577.5,N30,30,,US,"CABLES, WIRE, INSULATION, OTHER",
TASTINGS CATERERS - FRAMINGHAM,70046777,,,15448.12,,,,,15448.12,CSH,0,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
TE CONNECTIVITY,70016074,,,,,,20491.62,,20491.62,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
TECHPRINT INCORPORATED,70019854,,,,,,21494,,21494,N60,60,,US,ELECTRONICS & ELECTROMECHANICAL,
TENEO STRATEGY LLC,70252440,375000,,,,,,,375000,S40,1,,US,PROFESSIONAL SERVICES,CONSULTING
"TES ELECTRICAL SERVICE, INC. - SEEKONK",70179465,,,42492.27,,,,,42492.27,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
TESTEQUITY LLC,70016829,,,3391.7,,,5968,,9359.7,X30,30,,US,"PACKAGING, SKIDS, & LABELS",
THE AUSTRALIAN GAS ASSOCIATION,70016247,,,2776,,,,,2776,S51,45,,AU,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
THE CHEMOURS CHEMICAL (SHANGHAI) CO.LTD,70248494,,,,,,1020670.8,,1020670.8,X60,60,,US,CHEMICALS & GASES,
THE CHEMOURS CO MEXICANA S DE RL DE CV,70181655,0,,,94055.27,,,,94055.27,N45,45,,MX,CHEMICALS & GASES,
THE CHEMOURS MALAYSIA SDN BHD,70230755,-52177.5,,,566842.5,,,,514665,N60,60,,MY,CHEMICALS & GASES,
THE OFFICE OF THE U.S. TRUSTEE,70253137,301833,,,,,,,301833,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
"THE PROTECTOWIRE CO., INC - PEMBROKE",70117838,,,,99712,,91726.94,,191438.94,N45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
THERMASTER ELECTRONIC (XIAMEN) LTD,70025150,,,9772.88,159763.8,8502.03,4904841,-3271.53,5079608.18,N90,90,,CN,ELECTRONICS & ELECTROMECHANICAL,
TOMCO EQUIPMENT COMPANY,70019933,,,26885,1820450.54,,,,1847335.54,N45,45,,US,"STEEL, FABRICATION",
TOPOCEAN CONSOLIDATION SERVICE (LA) INC,70252962,5655.81,,,,,,,5655.81,006,0,,US,LOGISTICS,TRANSPORTATION
TOWN OF ASHLAND,70016175,22838.26,,,,,,,22838.26,006,0,30,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
"TPS, LLC DBA THERMAL PRODUCT SOLUTIONS",70215167,,,175486.65,,,,,175486.65,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"TRANSCAT, INC.",70019956,,,4162.86,,,,,4162.86,S51,45,,US,PROFESSIONAL SERVICES,OTHER
TRC ENVIRONMENTAL CORPORATION - WEYMOUTH,70231574,,,1000,,,,,1000,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
TRELLEBORG SEALING SOLUTIONS - CHALFONT,70048530,,,183881.08,,2880,69687.88,,256448.96,N30,30,,US,"CABLES, WIRE, INSULATION, OTHER",
"TRIMECH SOLUTIONS, LLC - GLEN ALLEN",70181722,,,36209.25,,,,,36209.25,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
TRIPOINT INSTRUMENTS INC,70019971,,,2213.1,,,,,2213.1,S51,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"TTI, INCORPORATED",70019985,41.31,,,,,3272.22,,3313.53,N30,30,,US,"FASTENERS, DISTRIBUTORS",
TULLY SERVICES LLC,70254647,,,1300,,,,,1300,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"TW METALS, INC",70031115,,,,,6883.5,10480.59,,17364.09,S43,15,30,US,BRASS & FABRICATION,
ULINE,70020025,,,4214.88,,,1423.85,,5638.73,X45,45,,US,"PACKAGING, SKIDS, & LABELS",
UNDERWRITERS LABORTORIES INC./,70020024,,,761961.63,,,,,761961.63,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
UNIFIED2 GLOBAL PACKAGING GROUP LLC,70016205,,,2300831.75,,312.5,76687.7,,2377831.95,N45,45,,US,"PACKAGING, SKIDS, & LABELS","3PL, STORAGE AND DISTRIBUTION"
UNIFIRST CORPORATION,70020576,,,14204.68,,,,,14204.68,S51,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"UNITED BRASS MFG., INC.",70020046,,,,,,85382.52,,85382.52,N60,60,,US,BRASS & FABRICATION,
UNITED BRASS WORKS,70020033,,,,,,915741.52,,915741.52,N60,60,,US,BRASS & FABRICATION,
UNITED ELECTRIC CONTROLS,70020048,,,5100,,,1613295.35,-407477.5,1210917.85,N75,75,,US,SENSORS AND SWITCHES,
UNITED PERFORMANCE METALS - HAMILTON,70017352,,,,,,2197.48,,2197.48,N45,45,,US,BRASS & FABRICATION,
"UPS SUPPLY CHAIN SOLUTIONS, INC.",70252944,241772.43,,,,,,,241772.43,006,0,,US,LOGISTICS,CUSTOMS BROKERAGE AND DUTY
"US ECOLOGY LIVONIA, INC.",70050861,,,5896.52,,,,,5896.52,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
UTA - UNITED TRANZ*ACTIONS,70049407,8118.04,,,,,,,8118.04,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
UTC BUILDING & INDUSTRIAL SYSTEMS MET FZ,70155002,247332.3,,,,,,,247332.3,N30,30,,AE,PROFESSIONAL SERVICES,OTHER
UTC FIRE & SECURITY - CHICAGO,70129436,357143.13,,,,,,,357143.13,N60,60,,US,PROFESSIONAL SERVICES,OTHER
UTC FIRE & SECURITY AMERICAS CORP. INC.,70222802,,,,,178.26,901546.89,-143.04,901582.11,X60,60,,MX,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
UTC FIRE & SECURITY BV,70018157,,,,,,30719.5,,30719.5,N30,30,,NL,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
UTC Fire & Security India Ltd,70229839,428706.78,,,,,,,428706.78,006,0,,IN,PROFESSIONAL SERVICES,OTHER
"UTEC CONTROLS, S DE R.L. DE C.V.",70243968,,,15816.49,,,3070.08,,18886.57,N30,30,,MX,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
VACUMETRICS    - EAST TAUNTON,70020100,,,24704.8,,,,,24704.8,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
VALUTRACK CORPORATION,70181793,,,4466,,,,,4466,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
VELOCITY,70248952,,,454792.84,,40208.75,442657.17,-69,937589.76,N60,60,,US,"PACKAGING, SKIDS, & LABELS",
VELOCITYEHS - CHICAGO,70248583,,,1670.32,,,,,1670.32,N30,30,,US,PROFESSIONAL SERVICES,OTHER 
VERIZON   - ALBANY,70020129,6142.77,,,,,,,6142.77,S02,25,,US,IT SERVICES,TELECOM
VICTORY HEATING AND A/C INC.  - BELLINGH,70020136,,,1949,,,,,1949,S51,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
VICTORY TECH,70253247,,,625,,,,,625,N30,30,,US,PROFESSIONAL SERVICES,OTHER 
VOXX EXHIBITS LLC - CARROLLTON,70104218,,,4494,,,,,4494,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
W.B.MASON    - BROCKTON,70020211,,,30848.7,,,7845.25,,38693.95,S41,10,30,US,"FASTENERS, DISTRIBUTORS",
"WASHBURN GARFIELD, A DIV OF COLLINS COMP",70253258,,,,,,8935.5,,8935.5,N60,60,,US,"FASTENERS, DISTRIBUTORS",
WASHBURN-GARFIELD COMPANY   - WORCESTER,70020201,,,,,,8827.4,,8827.4,X60,60,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
WAYNE WIRE CLOTH PRODUCTS INC  - CHICAGO,70020210,,,,,,11816.4,,11816.4,N30,30,,US,"CABLES, WIRE, INSULATION, OTHER",
WELD RITE INC.   - ASHLAND,70024337,,,1240,,,,,1240,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"WESCO INTEGRATED SUPPLY, INC.",70042610,4472.7,,,,,,,4472.7,N30,30,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
"WESTAK, INC.",70249052,,,11492,,,,,11492,N60,60,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
WHITMAN CONTROLS CORPORATION  - BRISTOL,70020263,,,,,,416,,416,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
WIND CORPORATION   -  NEWTOWN,70020289,,,,,,14670,,14670,N45,45,,US,SENSORS AND SWITCHES,
WINDHAM SYSTEMS,70104624,,,1360,,,,,1360,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
WINDWARD ISLAND GASES LTD. - ST. LUCIA,70134090,5775.8,,,,,,,5775.8,006,0,,LC,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
WIRE & CABLE CONNECTIONS CO. - IRWINDALE,70146676,,,,,,92056,,92056,X60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
WOLSELEY INDUSTRIAL GROUP,70017475,,,,,,3077.91,,3077.91,X45,45,,US,"VALVES  , SOURCE CONTROLLED",
WONNACOTT SALES & ASSOCIATES   - PHOENIX,70020302,151169.46,,,,,,,151169.46,006,0,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
WORCESTER POLYTECH INSTITUTE  - WORCESTE,70020311,,,47000,,,,,47000,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"WORCESTER SCALE CO., INC.   -  WORCESTER",70020304,,,10976.55,,,10369.45,,21346,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
"WORTHINGTON ENTERPRISES, INC.",70020313,,,,,3415.96,2070041.63,-12213.67,2061243.92,X60,60,,US,"STEEL, FABRICATION",
"XPO LOGISTICS FREIGHT, INC.",70003455,1098.35,,,,,,,1098.35,006,0,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"XTRALIS, INC. - BALTIMORE",70226592,,,,180513.01,,,,180513.01,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
XUZHAN PRECISION (HK) LIMITED,70048017,,,,,,2043,,2043,N60,60,,CN,BRASS & FABRICATION,
"YASKAWA ELECTRIC AMERICA, INC.  - RIVERD",70020339,,,764.6,,,,,764.6,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
YOST SUPERIOR CO   -  SPRINGFIELD,70020346,,,,,,247.5,,247.5,N45,45,,US,BRASS & FABRICATION,
ZATKOFF SEALS & PACKINGS,70249055,,,7554,,226.8,39855.1,,47635.9,N30,30,,US,"CABLES, WIRE, INSULATION, OTHER",
"ZIRCAR REFRACTORY COMPOSITES, INC.",70139653,,,2070,,,,,2070,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
